incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
815510977,C17040127,8/14/2017 1:47,CONTROLLED SUBSTANCE VIOLATION,CONTROLLED SUBSTANCE VIOLATION,,12400 Block 1 AV SW,,BURIEN,WA,98146,,47.4924487,-122.3348715,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3348715 47.4924487),1,Monday,Drugs
815428234,C17040130,8/14/2017 1:56,CONTROLLED SUBSTANCE VIOLATION,CONTROLLED SUBSTANCE VIOLATION,,12400 Block 4 AV SW,,BURIEN,WA,98146,,47.4921197,-122.339135,8/15/2017 5:30,9/13/2017 5:32,POINT (-122.339135 47.4921197),1,Monday,Drugs
815510975,C17040182,8/14/2017 2:55,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,,1000 Block S 115 ST,,BURIEN,WA,98168,,47.5002154,-122.3205413,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3205413 47.5002154),2,Monday,Other
815428231,C17040137,8/14/2017 4:45,"LARCENY, TFA","LARCENY, TFA",,8000 Block 118 CT SE,,NEWCASTLE,WA,98056,,47.5311437,-122.1822178,8/15/2017 5:30,9/13/2017 5:32,POINT (-122.1822178 47.5311437),4,Monday,Theft from Vehicle
815428230,C17702242,8/14/2017 5:00,"LARCENY, NSC","LARCENY, NSC",,TINKHAM RD SE,,NORTH BEND,WA,98045,,47.393805,-121.5436379,8/15/2017 5:30,9/13/2017 5:32,POINT (-121.5436379 47.393805),5,Monday,Theft
816935138,C17042745,8/14/2017 6:00,"LARCENY, TFB","LARCENY, TFB",,1100 Block N 192 ST,,SHORELINE,WA,98133,,47.7677804,-122.3458358,8/30/2017 5:31,9/26/2017 5:32,POINT (-122.3458358 47.7677804),6,Monday,Theft
815510971,C17040207,8/14/2017 7:00,"LARCENY, TFB","LARCENY, TFB",,100 Block S 156 TH ST,,BURIEN,WA,98148,,47.4632889,-122.3338829,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3338829 47.4632889),7,Monday,Theft
815510972,C17040291,8/14/2017 7:00,"BURGLARY, RES., F/E","BURGLARY, RES., F/E",,12400 Block AMBAUM B2 BLVD,,BURIEN,WA,98146,,47.4920548,-122.3499771,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3499771 47.4920548),7,Monday,Breaking & Entering
815428227,C17040165,8/14/2017 8:00,VANDALISM UNDER $1500,VANDALISM UNDER $1500,,14800 Block MILITARY RD S,,SEATAC,WA,98168,,47.4706246,-122.2894392,8/15/2017 5:30,9/13/2017 5:32,POINT (-122.2894392 47.4706246),8,Monday,Property Crime
815591747,C17040300,8/14/2017 8:00,"LARCENY, TFA","LARCENY, TFA",,600 Block S 136 ST,,BURIEN,WA,98168,,47.4813115,-122.3259795,8/17/2017 5:30,9/13/2017 5:32,POINT (-122.3259795 47.4813115),8,Monday,Theft from Vehicle
